data,n,p,method,acc,sens,spec,auc,non-zeros
simulate10_10_10_9_data.csv,1000,20,CD_Med,0.611,0.5877551020408164,0.6333333333333333,0.6585334133653461,21
simulate10_10_10_8_data.csv,1000,20,CD_Med,0.614,0.6225296442687747,0.6052631578947368,0.6647497239602502,21
simulate50_50_3_7_data.csv,1000,100,CD_Med,0.709,0.7107942973523421,0.7072691552062869,0.7705956729980512,101
simulate50_50_3_6_data.csv,1000,100,CD_Med,0.619,0.6470588235294118,0.5897959183673469,0.6544457783113244,101
simulate50_50_5_9_data.csv,1000,100,CD_Med,0.632,0.6153846153846154,0.6482213438735178,0.6849706357715512,101
simulate50_50_5_8_data.csv,1000,100,CD_Med,0.634,0.6627906976744186,0.6033057851239669,0.6845850150554167,101
simulate10_0_5_8_data.csv,1000,10,CD_Med,0.607,0.5858585858585859,0.6277227722772277,0.6231263126312632,11
simulate10_0_5_9_data.csv,1000,10,CD_Med,0.557,0.6193293885601578,0.49290060851926976,0.5879552392268883,11
simulate50_50_10_4_data.csv,1000,100,CD_Med,0.616,0.6056338028169014,0.6262425447316103,0.6656879647667315,101
simulate50_50_10_5_data.csv,1000,100,CD_Med,0.604,0.6640776699029126,0.5402061855670103,0.6352116905214693,101
simulate10_10_0_9_data.csv,1000,20,CD_Med,0.59,0.6647509578544061,0.5083682008368201,0.6160727167796854,21
simulate0_10_10_6_data.csv,1000,10,CD_Med,0.572,0.4802494802494803,0.6570327552986512,0.6216356418668557,11
simulate10_0_5_10_data.csv,1000,10,CD_Med,0.615,0.656188605108055,0.5723014256619144,0.6564166790039972,11
simulate10_10_0_8_data.csv,1000,20,CD_Med,0.601,0.6072144288577155,0.5948103792415169,0.6431405725622902,21
simulate0_10_10_7_data.csv,1000,10,CD_Med,0.666,0.6611570247933884,0.6705426356589147,0.7376453488372094,11
simulate10_10_10_3_data.csv,1000,20,CD_Med,0.565,0.6247544204322201,0.5030549898167006,0.585233615691484,21
simulate10_10_10_2_data.csv,1000,20,CD_Med,0.582,0.5780933062880325,0.5857988165680473,0.6191793591543943,21
